user,cnt,poslen,pos
ba13857aafdcb1090336001d8f977cbdb095b89ae709e487335d1874562afa79,6343,75,"54,56,6,58,5,3,9,2,7,1,16,64,55,33,34,63,62,37,60,35,15,36,27,75,73,74,77,8,14,70,13,21,71,12,78,22,17,59,61,4,57,53,52,45,28,29,31,38,30,32,51,79,18,49,19,50,39,47,20,41,40,43,23,25,48,72,44,68,67,76,46,11,26,24,65"
23c687146950fd9c64a0acf81bba0cfdb3eaff668d5af6f6ca2e676532888a4d,5318,75,"56,58,54,6,9,7,2,3,14,64,71,33,5,34,73,35,15,37,36,8,61,13,60,22,17,12,59,57,63,74,75,62,16,28,77,55,78,27,21,4,1,20,70,52,44,53,45,32,30,38,29,31,51,48,79,18,19,47,49,50,41,40,43,25,72,39,76,68,67,46,23,26,65,24,11"
e1054962fec6ffcadfa65d016a3980617ff5f67c8556ccdba90a985343ee53dd,4708,75,"56,54,6,9,58,7,2,17,16,3,12,33,77,36,59,34,13,60,8,15,71,64,1,61,75,74,78,35,70,62,27,63,55,4,14,28,57,73,21,20,5,37,22,53,44,45,52,29,31,38,51,79,32,18,19,47,48,49,39,50,30,40,41,43,25,72,76,68,67,46,23,26,65,24,11"
766888e132d22c9fe03011cecd2cfd06e53bcf30175e083dfde7cd3cdbe1d419,3949,75,"56,54,57,58,9,6,7,55,8,1,15,2,64,3,35,63,34,5,14,33,36,60,71,61,21,28,37,13,16,17,75,22,62,70,59,77,74,20,73,27,12,78,44,45,52,53,31,38,29,51,79,18,32,39,30,48,49,19,47,50,4,41,43,40,76,72,23,25,67,68,46,26,24,65,11"
dfba5538503c3766141e6e9c00ab0763c4ceebda26f95e18ea3df2557edff2ca,3778,75,"56,6,7,5,54,58,3,1,2,16,17,64,34,15,8,36,60,33,61,35,74,14,12,71,77,70,37,62,22,75,9,13,28,20,59,63,57,55,78,4,52,44,45,30,29,31,38,53,47,51,32,79,19,18,50,48,49,43,41,40,25,72,73,76,39,67,46,68,27,23,11,26,24,65,21"
0da0408cf172cf652980c296e04f6da88b4cd082b95640e05b763cd9c6b21fa6,2715,75,"54,6,58,57,8,3,56,5,9,2,16,34,75,33,15,36,14,61,60,64,55,20,62,71,78,12,59,28,70,13,35,7,77,4,17,63,22,74,37,1,21,53,45,52,29,38,31,27,51,73,18,19,32,30,49,79,47,48,50,43,40,41,72,44,67,68,76,25,23,39,46,26,24,65,11"
81dabaffd236dee990ab54f2e41e049b13c5232f47a5750ddf16b11ab14d08fd,1695,75,"56,6,9,54,7,16,64,62,17,60,8,34,71,58,59,33,28,27,35,36,37,15,77,22,74,12,70,78,4,57,14,1,73,3,55,63,61,2,52,13,29,38,45,31,53,5,75,51,79,47,18,39,19,40,41,25,30,43,72,49,68,44,46,67,32,76,20,48,50,24,21,26,65,11,23"
c6ffb1e5f828f4df8e99097f27d25253f28fd48e08006ae8770339d55290d121,6867,74,"56,58,54,6,57,55,5,9,3,7,2,1,64,16,17,4,8,74,12,33,14,37,34,36,77,59,15,63,35,62,71,22,78,73,13,75,61,70,20,28,21,27,53,52,44,45,31,29,30,38,32,51,47,79,48,49,19,18,50,39,41,40,43,23,25,72,76,68,67,46,11,26,24,65"
bb77db1cfa0250872b2a983259ec0a263ff4d133554b75ed8c7b5ad48907b81e,6820,74,"58,56,55,54,6,9,5,3,7,57,1,2,8,64,16,71,14,17,35,34,15,63,33,12,21,36,62,20,61,60,59,37,22,13,28,75,73,74,70,77,78,4,52,44,45,53,27,38,31,32,30,47,51,79,19,18,49,50,48,39,41,40,43,25,76,72,23,68,67,46,11,26,24,65"
97fe248420114cd0e2a020fbd84efa3304f85f329233553895430a6dcdec00e4,5983,74,"56,54,57,6,58,55,9,3,4,2,1,7,8,17,5,16,12,14,71,13,34,28,73,15,36,33,20,35,22,61,59,64,62,27,63,75,74,77,37,78,70,21,44,45,52,53,31,30,38,29,32,51,47,79,49,19,18,48,39,50,41,43,40,25,23,72,76,68,67,46,26,24,65,11"
